ID_REF,average_expression
1007_s_at,10.560596471149525
1053_at,6.872994882962618
117_at,8.012539902121492
121_at,9.871099579626163
1255_g_at,4.892962480504674
1294_at,8.939194444654204
1316_at,6.30248679137383
1320_at,6.159289156317758
1405_i_at,8.245529857700935
1431_at,4.956845369682245
1438_at,7.830192672831778
1487_at,8.46373648182243
1494_f_at,7.785504205121494
1598_g_at,11.092108696700937
160020_at,9.261643333878508
1729_at,8.657697103205606
1773_at,7.126249836803738
177_at,6.032843639775699
179_at,10.146426964289727
1861_at,6.88298742482243
200000_s_at,9.696104590056075
200001_at,11.750039825233648
200002_at,11.941139146074768
200003_s_at,12.733649269532714
200004_at,11.68366575971962
200005_at,10.429636581869156
200006_at,11.503061191869154
200007_at,11.921020866915894
200008_s_at,10.071227265448597
200009_at,11.456264720560746
200010_at,12.487331975794392
200011_s_at,10.46934360193458
200012_x_at,12.939867887476634
200013_at,12.419953098037377
200014_s_at,10.057544801457944
200015_s_at,10.967315764738318
200016_x_at,12.392526201401864
200017_at,12.3144534064486
200018_at,13.112124384766364
200019_s_at,12.198407754392523
200020_at,10.316930683327096
200021_at,13.385753362990654
200022_at,12.227581673364481
200023_s_at,11.045163565906542
200024_at,12.644895320467294
200025_s_at,13.039948595887857
200026_at,13.05398504915888
200027_at,11.018827422897195
200028_s_at,11.532582843271031
200029_at,13.156312720093464
200030_s_at,12.294456223271027
200031_s_at,13.207737790000003
200032_s_at,13.030858513457941
200033_at,11.746362407289725
200034_s_at,12.092178903551401
200035_at,9.89262208820561
200036_s_at,11.915766536542051
200037_s_at,10.382094677747666
200038_s_at,12.382392122056084
200039_s_at,10.444475743813085
200040_at,10.673727440084113
200041_s_at,11.27143685046729
200042_at,9.874863004037383
200043_at,11.186498581214957
200044_at,9.57517319003738
200045_at,9.56265943773832
200046_at,10.673086346037387
200047_s_at,9.814106920570097
200048_s_at,11.276295151308409
200049_at,9.02412780035514
200050_at,8.715717571504674
200051_at,7.51365848411215
200052_s_at,9.150469493289718
200053_at,9.673107116205607
200054_at,7.637443318504673
200055_at,10.687559157364486
200056_s_at,7.0275925234392504
200057_s_at,11.712189705794389
200058_s_at,10.251615135542057
200059_s_at,12.049418060560756
200060_s_at,10.407495574663555
200061_s_at,13.459172491682239
200062_s_at,12.985027573831772
200063_s_at,11.524252649532707
200064_at,12.170486794018695
200065_s_at,11.599598235420567
200066_at,9.446463662018688
200067_x_at,10.918410312429904
200068_s_at,12.330727709158886
200069_at,7.948334043523366
200070_at,7.739471058121495
200071_at,8.40132288969159
200072_s_at,9.516800858121494
200073_s_at,9.191947278037382
200074_s_at,11.482540230186922
200075_s_at,9.879544654364485
200076_s_at,9.206785599028036
200077_s_at,12.790355569813084
200078_s_at,10.134073044214952
200079_s_at,9.88204123108411
200080_s_at,11.60428398588785
200081_s_at,12.391576139158882
200082_s_at,12.254218499906537
200083_at,9.920414732205609
200084_at,10.553969376009343
200085_s_at,10.351761617355137
200086_s_at,10.857015000093464
200087_s_at,11.158054776448605
200088_x_at,13.045360382429909
200089_s_at,11.78687137785047
200090_at,10.365027986495326
200091_s_at,11.134658872056074
200092_s_at,12.553490424953269
200093_s_at,9.82271079526168
200094_s_at,11.598744012429908
200095_x_at,13.54300932383177
200096_s_at,11.228202872897201
200097_s_at,10.461470261738318
200098_s_at,10.242303680542053
200099_s_at,12.48818524009345
200593_s_at,9.651871603158876
200594_x_at,11.203075213271033
200595_s_at,9.202522783186918
200596_s_at,9.31533937279439
200597_at,7.983776406747665
200598_s_at,9.27092402400934
200599_s_at,11.066047866915888
200600_at,11.31290960385981
200601_at,10.940236477953269
200602_at,9.451487493401867
200603_at,10.494064664074763
200604_s_at,8.230531907084114
200605_s_at,11.05742093546729
200606_at,9.887570061990651
200607_s_at,8.901770220065417
200608_s_at,8.920377303046727
200609_s_at,10.942147843177574
200610_s_at,10.753946247757009
200611_s_at,10.281805297738314
200612_s_at,10.177164308579439
200613_at,10.419262551130846
200614_at,11.926289718691581
200615_s_at,8.847808108476634
200616_s_at,9.029803634934575
200617_at,9.877641720149532
200618_at,10.701105213205608
200619_at,9.709931097504674
200620_at,11.656356566728977
200621_at,10.879662730523366
200622_x_at,8.999293620429912
200623_s_at,9.71760210726168
200624_s_at,10.20004709709346
200625_s_at,11.30823640168225
200626_s_at,9.8978156035514
200627_at,11.168614311990654
200628_s_at,9.933238836915889
200629_at,10.527359352093459
200630_x_at,11.260789813457945
200631_s_at,10.614041375663556
200632_s_at,11.184472800738323
200633_at,13.469814644766352
200634_at,11.922050931495322
200635_s_at,9.001303432392522
200636_s_at,10.082741733121496
200637_s_at,8.342499415074768
200638_s_at,10.531458405570094
200639_s_at,10.982302653560744
200640_at,11.476565645233642
200641_s_at,10.04373190614953
200642_at,11.411011226168226
200643_at,10.020461961214954
200644_at,10.916865285149532
200645_at,12.119671758785046
200646_s_at,7.881508828887852
200647_x_at,11.275844398317757
200648_s_at,9.284135382551407
200649_at,10.13357420838318
200650_s_at,12.314785987943925
200651_at,12.31579997196262
200652_at,10.90726434158879
200653_s_at,10.830643367785047
200654_at,11.9256308464486
200655_s_at,10.80541576535514
200656_s_at,9.454546588102799
200657_at,11.935906236261687
200658_s_at,7.9988571924672875
200659_s_at,9.466140875869156
200660_at,11.630379119345802
200661_at,10.579966135551404
200662_s_at,9.833647842700936
200663_at,12.4928377753271
200664_s_at,8.701695719747663
200665_s_at,11.271477739532706
200666_s_at,10.44100571928972
200667_at,10.302483651383175
200668_s_at,11.060085844299062
200669_s_at,10.060283252457944
200670_at,10.71559411891589
200671_s_at,7.503762646934581
200672_x_at,9.669489570813084
200673_at,11.811911869719626
200674_s_at,13.403863389626169
200675_at,12.252726805514017
200676_s_at,7.870694399439252
200677_at,11.72331069186915
200678_x_at,11.161166037542056
200679_x_at,10.168780980570094
200680_x_at,12.233407932523361
200681_at,11.000106123738318
200682_s_at,10.144843737654211
200683_s_at,9.426314204392522
200684_s_at,8.319287284757012
200685_at,5.777395388056077
200686_s_at,10.322106797383173
200687_s_at,8.955906255542054
200688_at,6.81193896361682
200689_x_at,13.21667190794393
200690_at,7.504733172196261
200691_s_at,10.121089234439252
200692_s_at,8.906796620448596
200693_at,11.20577474813084
200694_s_at,10.312958027093456
200695_at,9.627221243196258
200696_s_at,11.430323691102805
200697_at,10.697187547570097
200698_at,10.085974242495327
200699_at,10.520996239691595
200700_s_at,10.57773510085047
200701_at,12.450506506448594
200702_s_at,8.559028956915887
200703_at,11.680972385607475
200704_at,11.300986467663552
200705_s_at,12.197803227570104
200706_s_at,10.305174260299063
200707_at,8.377824838635515
200708_at,10.145024614102802
200709_at,11.048175870112152
200710_at,9.703303274897191
200711_s_at,9.83197456419626
200712_s_at,7.628140166467287
200713_s_at,11.180122538130844
200714_x_at,11.403892873177568
200715_x_at,12.503117311214954
200716_x_at,13.646214783084108
200717_x_at,13.403429468878507
200718_s_at,11.937398169813086
200719_at,9.35549531372897
200720_s_at,8.609681493878501
200721_s_at,9.210438794990656
200722_s_at,8.68178035627103
200723_s_at,9.969433302186912
200724_at,7.207697367532714
200725_x_at,13.33312293570094
200726_at,10.607215635626163
200727_s_at,8.773446517485981
200728_at,10.570691883906543
200729_s_at,9.228038012102807
200730_s_at,8.498930337925234
200731_s_at,9.23251348002804
200732_s_at,10.578643618738313
200733_s_at,8.047180185794394
200734_s_at,10.064365449121498
200735_x_at,12.003248834766362
200736_s_at,10.987130229308407
200737_at,9.349147782420562
200738_s_at,11.413072837102805
200739_s_at,8.001193692149531
200740_s_at,10.712733353345786
200741_s_at,13.346728714953276
200742_s_at,10.304753808028037
200743_s_at,10.814755094158878
200744_s_at,9.056078266299064
200745_s_at,11.211425133242992
200746_s_at,10.820596733457942
200747_s_at,9.490535095009346
200748_s_at,12.547850452990655
200749_at,9.020467033373837
200750_s_at,10.206875938551404
200751_s_at,8.243612333766357
200752_s_at,8.636910314383178
200753_x_at,8.835017296121496
200754_x_at,11.556006130186923
200755_s_at,9.105500177439252
200756_x_at,8.712077236205605
200757_s_at,10.46090567713084
200758_s_at,9.755105345242988
200759_x_at,10.412356052121496
200760_s_at,10.400566968308414
200761_s_at,11.287402442925227
200762_at,10.820607649551402
200763_s_at,13.119030703084112
200764_s_at,8.94143057060748
200765_x_at,10.213618013196264
200766_at,10.095201926691589
200767_s_at,7.818965869485981
200768_s_at,10.36451219815888
200769_s_at,8.173199034383176
200770_s_at,9.0235442386729
200771_at,10.353487692785048
200772_x_at,11.919499044672904
200773_x_at,12.308598631775698
200774_at,10.770653794420562
200775_s_at,11.990752075420565
200776_s_at,8.95177763851402
200777_s_at,10.428075643495323
200778_s_at,10.0714812547757
200779_at,11.21016374728972
200780_x_at,12.903215250467294
200781_s_at,13.264579995981313
200782_at,11.225800336411213
200783_s_at,7.977520226280374
200784_s_at,8.595091970504672
200785_s_at,8.899242225028043
200786_at,10.210568387056073
200787_s_at,9.008381831093457
200788_s_at,10.464322942542053
200789_at,9.525107474719624
200790_at,10.36177308003738
200791_s_at,10.775460991635512
200792_at,10.856504623934578
200793_s_at,8.89485079897196
200794_x_at,11.538229895140187
200795_at,11.67035336853271
200796_s_at,6.709140958028041
200797_s_at,12.235039434392519
200798_x_at,10.318415915925234
200799_at,11.463775242112153
200800_s_at,9.368088914140186
200801_x_at,14.158008888878506
200802_at,10.521619235588789
200803_s_at,11.304739193177568
200804_at,11.75554393158879
200805_at,8.130504284317757
200806_s_at,10.189039702084106
200807_s_at,11.638356270747664
200808_s_at,9.810464255448597
200809_x_at,13.022518670841128
200810_s_at,10.220935691897196
200811_at,10.472554804495326
200812_at,9.83360685040187
200813_s_at,9.331642435775704
200814_at,11.534665949158876
200815_s_at,8.738104961831775
200816_s_at,9.665101494859806
200817_x_at,13.458538954392527
200818_at,10.96223860884112
200819_s_at,13.332786133364486
200820_at,9.497725692990654
200821_at,7.9549132372897216
200822_x_at,11.96316071766355
200823_x_at,12.183139540654205
200824_at,10.66041628605608
200825_s_at,10.802646896271028
200826_at,10.965289781401868
200827_at,8.469623998355141
200828_s_at,10.302844897345794
200829_x_at,10.216074478504673
200830_at,9.73285530169159
200831_s_at,9.753662077915891
200832_s_at,9.865649873252343
200833_s_at,10.896617557383179
200834_s_at,12.382982506542051
200835_s_at,7.104922626971962
200836_s_at,8.770718662925233
200837_at,9.883737299915893
200838_at,11.409854968429908
200839_s_at,12.251662524859814
200840_at,11.155371406635519
200841_s_at,7.024577002813082
200842_s_at,9.392072669925234
200843_s_at,9.693857463065422
200844_s_at,11.017107983925237
200845_s_at,10.289393753981312
200846_s_at,9.514227110439252
200847_s_at,10.606830307700939
200848_at,9.243789648018693
200849_s_at,9.859060785719626
200850_s_at,10.51125506792523
200851_s_at,10.684177252046734
200852_x_at,9.993366241700933
200853_at,10.448625980345794
200854_at,8.792135237149534
200855_at,7.518343525654203
200856_x_at,8.439322265551404
200857_s_at,8.428377462439256
200858_s_at,11.816595595794391
200859_x_at,9.970570509616822
200860_s_at,10.581080022112145
200861_at,9.198229394560746
200862_at,11.248756527140186
200863_s_at,11.099533721495328
200864_s_at,7.709263234084113
200865_at,4.554780266056075
200866_s_at,11.289559316289722
200867_at,8.216403475271035
200868_s_at,8.846585746130842
200869_at,12.305127468224299
200870_at,10.497065290439254
200871_s_at,13.0895897628972
200872_at,12.993765662616822
200873_s_at,10.436573956971964
